season,player,school,position,first,second,third,points,source
2016,Jonathan Allen,Alabama,DE,17,21,39,132,https://en.wikipedia.org/wiki/2016_NCAA_Division_I_FBS_football_season
2016,D'Onta Foreman,Texas,RB,6,21,17,131,https://en.wikipedia.org/wiki/2016_NCAA_Division_I_FBS_football_season
2016,Christian McCaffrey,Stanford,RB,10,17,39,103,https://en.wikipedia.org/wiki/2016_NCAA_Division_I_FBS_football_season
2016,Dalvin Cook,Florida State,RB,3,15,28,67,https://en.wikipedia.org/wiki/2016_NCAA_Division_I_FBS_football_season
2016,Donnel Pumphrey,San Diego State,RB,4,12,31,67,https://en.wikipedia.org/wiki/2016_NCAA_Division_I_FBS_football_season
2017,Baker Mayfield,Oklahoma,QB,732,87,28,2398,https://en.wikipedia.org/wiki/2017_NCAA_Division_I_FBS_football_season
2017,Bryce Love,Stanford,RB,75,421,233,1300,https://en.wikipedia.org/wiki/2017_NCAA_Division_I_FBS_football_season
2017,Lamar Jackson,Louisville,QB,47,197,258,793,https://en.wikipedia.org/wiki/2017_NCAA_Division_I_FBS_football_season
2017,Saquon Barkley,Penn State,RB,15,73,113,304,https://en.wikipedia.org/wiki/2017_NCAA_Division_I_FBS_football_season
2017,Rashaad Penny,San Diego State,RB,7,37,80,175,https://en.wikipedia.org/wiki/2017_NCAA_Division_I_FBS_football_season
2017,Jonathan Taylor,Wisconsin,RB,2,7,38,58,https://en.wikipedia.org/wiki/2017_NCAA_Division_I_FBS_football_season
2017,Mason Rudolph,Oklahoma State,QB,2,14,22,56,https://en.wikipedia.org/wiki/2017_NCAA_Division_I_FBS_football_season
2017,McKenzie Milton,UCF,QB,4,11,20,54,https://en.wikipedia.org/wiki/2017_NCAA_Division_I_FBS_football_season
2017,Kerryon Johnson,Auburn,RB,0,14,17,45,https://en.wikipedia.org/wiki/2017_NCAA_Division_I_FBS_football_season
2017,Roquan Smith,Georgia,LB,3,11,7,38,https://en.wikipedia.org/wiki/2017_NCAA_Division_I_FBS_football_season
2018,Kyler Murray,Oklahoma,QB,517,278,60,2167,https://en.wikipedia.org/wiki/2018_NCAA_Division_I_FBS_football_season
2018,Tua Tagovailoa,Alabama,QB,299,431,122,1871,https://en.wikipedia.org/wiki/2018_NCAA_Division_I_FBS_football_season
2018,Dwayne Haskins,Ohio State,QB,46,111,423,783,https://en.wikipedia.org/wiki/2018_NCAA_Division_I_FBS_football_season
2018,Will Grier,West Virginia,QB,4,17,80,126,https://en.wikipedia.org/wiki/2018_NCAA_Division_I_FBS_football_season
2018,Gardner Minshew,Washington State,QB,6,15,74,122,https://en.wikipedia.org/wiki/2018_NCAA_Division_I_FBS_football_season
2018,McKenzie Milton,UCF,QB,4,4,19,39,https://en.wikipedia.org/wiki/2018_NCAA_Division_I_FBS_football_season
2018,Travis Etienne,Clemson,RB,0,6,17,29,https://en.wikipedia.org/wiki/2018_NCAA_Division_I_FBS_football_season
2018,Quinnen Williams,Alabama,DT,1,4,16,27,https://en.wikipedia.org/wiki/2018_NCAA_Division_I_FBS_football_season
2018,Jonathan Taylor,Wisconsin,RB,1,2,19,26,https://en.wikipedia.org/wiki/2018_NCAA_Division_I_FBS_football_season
2018,Darrell Henderson,Memphis,RB,0,3,15,21,https://en.wikipedia.org/wiki/2018_NCAA_Division_I_FBS_football_season
2019,Joe Burrow,LSU,QB,841,41,3,2608,https://en.wikipedia.org/wiki/2019_NCAA_Division_I_FBS_football_season
2019,Jalen Hurts,Oklahoma,QB,12,231,264,762,https://en.wikipedia.org/wiki/2019_NCAA_Division_I_FBS_football_season
2019,Justin Fields,Ohio State,QB,6,271,187,747,https://en.wikipedia.org/wiki/2019_NCAA_Division_I_FBS_football_season
2019,Chase Young,Ohio State,DE,20,205,173,643,https://en.wikipedia.org/wiki/2019_NCAA_Division_I_FBS_football_season
2019,Jonathan Taylor,Wisconsin,RB,6,44,83,189,https://en.wikipedia.org/wiki/2019_NCAA_Division_I_FBS_football_season
2019,J. K. Dobbins,Ohio State,RB,2,36,36,114,https://en.wikipedia.org/wiki/2019_NCAA_Division_I_FBS_football_season
2019,Trevor Lawrence,Clemson,QB,3,25,29,88,https://en.wikipedia.org/wiki/2019_NCAA_Division_I_FBS_football_season
2019,Chuba Hubbard,Oklahoma State,RB,0,11,46,68,https://en.wikipedia.org/wiki/2019_NCAA_Division_I_FBS_football_season
2019,Travis Etienne,Clemson,RB,0,7,11,25,https://en.wikipedia.org/wiki/2019_NCAA_Division_I_FBS_football_season
2019,Tua Tagovailoa,Alabama,QB,1,4,13,24,https://en.wikipedia.org/wiki/2019_NCAA_Division_I_FBS_football_season
2020,DeVonta Smith,Alabama,WR,447,221,73,1856,https://en.wikipedia.org/wiki/2020_NCAA_Division_I_FBS_football_season
2020,Trevor Lawrence,Clemson,QB,222,176,169,1187,https://en.wikipedia.org/wiki/2020_NCAA_Division_I_FBS_football_season
2020,Mac Jones,Alabama,QB,138,248,220,1130,https://en.wikipedia.org/wiki/2020_NCAA_Division_I_FBS_football_season
2020,Kyle Trask,Florida,QB,61,164,226,737,https://en.wikipedia.org/wiki/2020_NCAA_Division_I_FBS_football_season
